segment_id,parent_id,child_id,x_parent,y_parent,x_child,y_child,length,radius,flow,pressure_in,pressure_out,is_terminal
0,0,38,0.000000,1.000000,0.000000,0.826573,0.173427,0.000129,0.000000,50000.000000,-1489851.940792,0
1,2,1,0.000000,-0.815564,0.000000,-0.900000,0.084436,0.000129,0.000000,-2478601.465609,-749704.932742,1
2,2,40,0.000000,-0.815564,0.213026,-0.815564,0.213026,0.000129,0.000000,-2478601.465609,-1891447.345651,0
3,4,8,0.000000,0.257889,0.000000,-0.004740,0.262629,0.000235,0.000002,-979764.018381,-1283277.680176,0
4,4,30,0.000000,0.257889,-0.194199,0.257889,0.194199,0.000129,0.000000,-979764.018381,-1724279.027666,0
5,6,44,-0.340222,0.257889,-0.479770,0.257889,0.139548,0.000129,0.000000,-2753342.172650,-1239036.667063,0
6,6,7,-0.340222,0.257889,-0.340222,0.586087,0.328198,0.000129,0.000000,-2753342.172650,-2914052.655828,1
7,8,12,0.000000,-0.004740,0.000000,-0.203819,0.199079,0.000163,0.000001,-1283277.680176,-2686230.425216,0
8,8,24,0.000000,-0.004740,0.356200,-0.004740,0.356200,0.000205,0.000001,-1283277.680176,-3275643.420091,0
9,10,46,0.000000,-0.507150,0.000000,-0.673735,0.166585,0.000129,0.000000,-4920493.177110,-1479100.260753,0
10,10,58,0.000000,-0.507150,-0.153713,-0.507150,0.153713,0.000129,0.000000,-4920493.177110,-1364814.028039,0
11,12,48,0.000000,-0.203819,0.000000,-0.256569,0.052750,0.000129,0.000000,-2686230.425216,-3154596.867221,0
12,12,13,0.000000,-0.203819,-0.221504,-0.203819,0.221504,0.000129,0.000000,-2686230.425216,-4652956.694981,1
13,14,9,0.738923,-0.004740,0.968778,-0.004740,0.229855,0.000129,0.000000,-5972776.497840,-2040869.006005,1
14,14,15,0.738923,-0.004740,0.738923,-0.147286,0.142546,0.000129,0.000000,-5972776.497840,-1265658.719684,1
15,16,11,-0.530295,-0.507150,-0.600234,-0.507150,0.069939,0.000129,0.000000,-956963.843710,-620983.529059,1
16,16,17,-0.530295,-0.507150,-0.530295,-0.410538,0.096612,0.000129,0.000000,-956963.843710,-857811.500819,1
17,18,16,-0.394502,-0.507150,-0.530295,-0.507150,0.135793,0.000163,0.000001,-503485.998127,-956963.843710,0
18,18,26,-0.394502,-0.507150,-0.394502,-0.706968,0.199818,0.000186,0.000001,-503485.998127,-1230142.584839,0
19,20,4,0.000000,0.468975,0.000000,0.257889,0.211086,0.000247,0.000002,-4664946.561575,-979764.018381,0
20,20,21,0.000000,0.468975,0.276290,0.468975,0.276290,0.000129,0.000000,-4664946.561575,-2453166.403247,1
21,22,5,-0.513851,0.257889,-0.728247,0.257889,0.214396,0.000129,0.000000,-1479214.907011,-1903607.109019,1
22,22,23,-0.513851,0.257889,-0.513851,0.399197,0.141308,0.000129,0.000000,-1479214.907011,-1254669.099962,1
23,24,14,0.356200,-0.004740,0.738923,-0.004740,0.382723,0.000163,0.000001,-3275643.420091,-5972776.497840,0
24,24,34,0.356200,-0.004740,0.356200,-0.113215,0.108475,0.000205,0.000001,-3275643.420091,-3882386.325884,0
25,26,19,-0.394502,-0.706968,-0.394502,-0.756069,0.049101,0.000129,0.000000,-1230142.584839,-1666110.684392,1
26,26,42,-0.394502,-0.706968,-0.302926,-0.706968,0.091576,0.000163,0.000001,-1230142.584839,-1875500.656400,0
27,28,18,-0.312718,-0.507150,-0.394502,-0.507150,0.081784,0.000186,0.000001,-480369.243472,-503485.998127,0
28,28,29,-0.312718,-0.507150,-0.312718,-0.417540,0.089610,0.000129,0.000000,-480369.243472,-795641.981509,1
29,30,6,-0.194199,0.257889,-0.340222,0.257889,0.146024,0.000163,0.000001,-1724279.027666,-2753342.172650,0
30,30,31,-0.194199,0.257889,-0.194199,0.207702,0.050186,0.000129,0.000000,-1724279.027666,-2169881.727744,1
31,32,3,0.256013,-0.815564,0.362490,-0.815564,0.106476,0.000129,0.000000,-2194387.391178,-945398.705808,1
32,32,56,0.256013,-0.815564,0.256013,-0.723800,0.091763,0.000129,0.000000,-2194387.391178,-814762.483964,0
33,34,52,0.356200,-0.113215,0.356200,-0.228775,0.115560,0.000186,0.000001,-3882386.325884,-4593809.058422,0
34,34,35,0.356200,-0.113215,0.288719,-0.113215,0.067481,0.000129,0.000000,-3882386.325884,-4481546.303952,1
35,36,33,0.256013,-0.613020,0.256013,-0.577306,0.035714,0.000129,0.000000,-1595457.746328,-317105.603551,1
36,36,37,0.256013,-0.613020,0.376773,-0.613020,0.120760,0.000129,0.000000,-1595457.746328,-1072221.283537,1
37,38,20,0.000000,0.826573,0.000000,0.468975,0.357598,0.000129,0.000000,-1489851.940792,-4664946.561575,0
38,38,39,0.000000,0.826573,0.112080,0.826573,0.112080,0.000129,0.000000,-1489851.940792,-2485005.520588,1
39,40,32,0.213026,-0.815564,0.256013,-0.815564,0.042987,0.000163,0.000001,-1891447.345651,-2194387.391178,0
40,40,41,0.213026,-0.815564,0.213026,-0.943533,0.127969,0.000129,0.000000,-1891447.345651,-3027681.298361,1
41,42,27,-0.302926,-0.706968,-0.251937,-0.706968,0.050988,0.000129,0.000000,-1875500.656400,-2328224.380223,1
42,42,43,-0.302926,-0.706968,-0.302926,-0.793206,0.086239,0.000129,0.000000,-1875500.656400,-2641207.911258,1
43,44,22,-0.479770,0.257889,-0.513851,0.257889,0.034081,0.000163,0.000001,-1239036.667063,-1479214.907011,0
44,44,45,-0.479770,0.257889,-0.479770,-0.002432,0.260320,0.000129,0.000000,-1239036.667063,-3550407.012767,1
45,46,2,0.000000,-0.673735,0.000000,-0.815564,0.141829,0.000163,0.000001,-1479100.260753,-2478601.465609,0
46,46,47,0.000000,-0.673735,-0.126594,-0.673735,0.126594,0.000129,0.000000,-1479100.260753,-2603120.811429,1
47,48,10,0.000000,-0.256569,0.000000,-0.507150,0.250580,0.000163,0.000001,-3154596.867221,-4920493.177110,0
48,48,49,0.000000,-0.256569,0.067737,-0.256569,0.067737,0.000129,0.000000,-3154596.867221,-3756031.083821,1
49,50,28,-0.258616,-0.507150,-0.312718,-0.507150,0.054102,0.000129,0.000000,-445791.393245,-480369.243472,0
50,50,51,-0.258616,-0.507150,-0.258616,-0.564371,0.057221,0.000129,0.000000,-445791.393245,-508061.771378,1
51,52,25,0.356200,-0.228775,0.356200,-0.273570,0.044795,0.000129,0.000000,-4593809.058422,-4991540.755627,1
52,52,60,0.356200,-0.228775,0.492026,-0.228775,0.135826,0.000163,0.000001,-4593809.058422,-5551005.568987,0
53,54,50,-0.208409,-0.507150,-0.258616,-0.507150,0.050208,0.000129,0.000000,-1850450.174572,-445791.393245,0
54,54,55,-0.208409,-0.507150,-0.208409,-0.441772,0.065377,0.000129,0.000000,-1850450.174572,-580483.248704,1
55,56,36,0.256013,-0.723800,0.256013,-0.613020,0.110781,0.000163,0.000001,-814762.483964,-1595457.746328,0
56,56,57,0.256013,-0.723800,0.172673,-0.723800,0.083340,0.000129,0.000000,-814762.483964,-1554732.851631,1
57,58,54,-0.153713,-0.507150,-0.208409,-0.507150,0.054695,0.000129,0.000000,-1364814.028039,-1850450.174572,0
58,58,59,-0.153713,-0.507150,-0.153713,-0.571481,0.064331,0.000129,0.000000,-1364814.028039,-1936007.648536,1
59,60,53,0.492026,-0.228775,0.544057,-0.228775,0.052031,0.000129,0.000000,-5551005.568987,-6012988.122611,1
60,60,61,0.492026,-0.228775,0.492026,-0.390425,0.161650,0.000129,0.000000,-5551005.568987,-6986289.319098,1
